File Name,Detected Extension,Full Path,Magic Bytes (First 50 Bytes - Hex)
File018,PDF,C:\Users\dj_za\AppData\Local\Temp\vmware-dj_za\VMwareDnD\d50273d1\Test File Ext\File018,255044462d312e350a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220
File018,PDF,C:\Users\dj_za\OneDrive\Desktop\Test File Ext\File018,255044462d312e350a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220
File018,PDF,E:\Users\dchoi\Documents\File\File018,255044462d312e350a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220
File022,PDF,E:\Users\dchoi\Documents\File\File022,255044462d312e370a25f6e4fcdf0a312030206f626a0a3c3c0a2f50616765732032203020520a2f54797065202f43617461
File066,PDF,E:\Users\dchoi\Documents\File\File066,255044462d312e370a25e2e3cfd30a362030206f626a0a3c3c2f46696c7465722f466c6174654465636f64652f4c656e6774
File084,PDF,E:\Users\dchoi\Documents\File\File084,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742033330a2f
File103,PDF,E:\Users\dchoi\Documents\File\File103,255044462d312e340a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f56657273696f6e20
File114,PDF,E:\Users\dchoi\Documents\File\File114,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742032300a2f
File123,PDF,E:\Users\dchoi\Documents\File\File123,255044462d312e350d0a25b5b5b5b50d0a312030206f626a0d0a3c3c2f547970652f436174616c6f672f5061676573203220
File129,PDF,E:\Users\dchoi\Documents\File\File129,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742031390a2f
File132,PDF,E:\Users\dchoi\Documents\File\File132,255044462d312e360d25e2e3cfd30d0a3433312030206f626a0d3c3c2f4c696e656172697a656420312f4c20353838313532
File135,PDF,E:\Users\dchoi\Documents\File\File135,255044462d312e370d25e2e3cfd30d0a312030206f626a0a3c3c2f4163726f466f726d2035203020522f4c616e6728656e29
File138,PDF,E:\Users\dchoi\Documents\File\File138,255044462d312e370a25e2e3cfd30a312030206f626a0a3c3c2f436f6c6f7253706163652f446576696365477261792f5375
File156,PDF,E:\Users\dchoi\Documents\File\File156,255044462d312e370a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220
File182,PDF,E:\Users\dchoi\Documents\File\File182,255044462d312e340d25e2e3cfd30d0a313231332030206f626a0d3c3c2f4c696e656172697a656420312f4c203439303836
