File Name,Hash MD5,Hash SHA1,Directory,File Type,Magic Bytes
File052,a978b63e14d67b4d8a9625655adb3838,2aebfa2cce4c9a5498dc9541bee9cb27cce887ab,E:\File\File052,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File052,a978b63e14d67b4d8a9625655adb3838,2aebfa2cce4c9a5498dc9541bee9cb27cce887ab,G:\Users\dchoi\Documents\File\File052,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File053,b7bbbb113e2913b4d54d17b47ec11308,e7840553b64fad9bab39e0c5a138e21a18d313ee,E:\File\File053,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File053,b7bbbb113e2913b4d54d17b47ec11308,e7840553b64fad9bab39e0c5a138e21a18d313ee,G:\Users\dchoi\Documents\File\File053,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File073,614cf260d4d13d5ffb6f947cc806d671,8082d965f637e78065d417dcf7c42915e7cbb988,E:\File\File073,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File073,614cf260d4d13d5ffb6f947cc806d671,8082d965f637e78065d417dcf7c42915e7cbb988,G:\Users\dchoi\Documents\File\File073,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File078,2431f8e75577a0e57896d66782cb9890,11df096f561dcf067384125730ea9c354217abef,E:\File\File078,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File078,2431f8e75577a0e57896d66782cb9890,11df096f561dcf067384125730ea9c354217abef,G:\Users\dchoi\Documents\File\File078,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File089,905363c4abd5f39bc6f98ff3e25b0281,3eea1966f23ac6499d0cb9a013a1d14fa1919fca,E:\File\File089,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File089,905363c4abd5f39bc6f98ff3e25b0281,3eea1966f23ac6499d0cb9a013a1d14fa1919fca,G:\Users\dchoi\Documents\File\File089,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
